File,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_Return=OK,READ_0,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_0,UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_Return=OK,UPDATE_0,Workload,Write_Concern,DB_Type,Read_Preference,Threads,Target,Minutes,READ_1000,UPDATE_1000
8_writeConcern=unacknowledged_result_mongodb_workloadb_primary_20241106_204204.json,1725,579.710145,2,13,0.753623,2,13,0.753623,950,6496.547368,838,231238,950,6496.547368,8,499.000000,,3984,499.000000,50,5299.660000,1164,33638,50,5299.660000,workloadb,unacknowledged,mongodb,primary,8,3000,0.500000,,
4_writeConcern=journaled_result_mongodb_workloadb_secondary_20241106_214929.json,1757,569.151964,2,20,1.138304,2,20,1.138304,953,2608.091291,568,98402,953,2610.830882,4,1980.750000,1.000000,7913,1980.750000,47,4761.595745,1073,100450,47,4761.595745,workloadb,journaled,mongodb,secondary,4,1000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloada_primary_20241106_193441.json,1383,723.065799,2,14,1.012292,2,14,1.012292,503,1584.119284,466,124311,503,1584.119284,2,1335.500000,6.000000,2665,1335.500000,497,1599.348089,566,118743,497,1599.348089,workloada,journaled,mongodb,primary,2,5000,0.500000,,
4_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_190759.json,1590,628.930818,2,13,0.817610,2,13,0.817610,508,3498.360236,906,107918,508,3498.360236,4,782.500000,,3124,782.500000,491,3414.517312,966,106370,492,3414.517312,workloada,acknowledged,mongodb,primary,4,10000,0.100000,,
4_writeConcern=unacknowledged_result_mongodb_workloada_secondary_20241106_184801.json,1249,800.640512,2,13,1.040833,2,13,1.040833,492,2965.136179,732,90517,493,2955.030426,4,542.750000,,2165,542.750000,506,2421.762846,737,88434,507,2421.762846,workloada,unacknowledged,mongodb,secondary,4,10000,0.300000,,
4_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_214004.json,1680,595.238095,2,31,1.845238,2,31,1.845238,940,3310.606383,719,120358,940,3310.606383,4,1406.000000,1.000000,5614,1406.000000,60,3077.316667,1042,31112,60,3077.316667,workloadb,journaled,mongodb,primary,4,3000,0.100000,,
8_writeConcern=majority_result_mongodb_workloada_nearest_20241106_203146.json,1516,659.630607,2,12,0.791557,2,12,0.791557,510,6531.001961,903,210088,510,6531.001961,8,492.625000,,3936,492.625000,490,5458.438776,1012,196043,490,5458.438776,workloada,majority,mongodb,nearest,8,3000,0.500000,,
4_writeConcern=unacknowledged_result_mongodb_workloada_nearest_20241106_185701.json,1255,796.812749,2,13,1.035857,2,13,1.035857,515,2912.293204,709,85792,516,2906.649225,4,605.500000,,2417,605.500000,484,2428.859504,761,82542,484,2428.859504,workloada,unacknowledged,mongodb,nearest,4,5000,0.100000,,
4_writeConcern=journaled_result_mongodb_workloadb_secondary_20241106_215037.json,1346,742.942051,2,11,0.817236,2,11,0.817236,937,2671.273212,641,88980,937,2671.273212,4,671.000000,1.000000,2675,671.000000,63,2416.555556,865,19561,63,2416.555556,workloadb,journaled,mongodb,secondary,4,3000,0.300000,,
4_writeConcern=acknowledged_result_mongodb_workloada_nearest_20241106_192602.json,1624,615.763547,2,11,0.677340,2,11,0.677340,500,2965.448000,773,89649,500,2965.448000,4,585.750000,,2336,585.750000,500,2508.448000,805,89164,500,2508.448000,workloada,acknowledged,mongodb,nearest,4,1000,0.300000,,
8_writeConcern=unacknowledged_result_mongodb_workloadb_nearest_20241106_210259.json,1681,594.883998,2,17,1.011303,2,17,1.011303,960,6331.200000,880,187574,960,6331.200000,8,654.250000,,5226,654.250000,40,6981.950000,1441,88135,40,6981.950000,workloadb,unacknowledged,mongodb,nearest,8,5000,0.100000,,
4_writeConcern=acknowledged_result_mongodb_workloada_secondary_20241106_191810.json,1458,685.871056,2,13,0.891632,2,13,0.891632,509,3176.897839,839,116729,509,3176.897839,4,997.750000,1.000000,3983,997.750000,491,3147.419552,910,108850,491,3147.419552,workloada,acknowledged,mongodb,secondary,4,10000,0.100000,,
8_writeConcern=majority_result_mongodb_workloada_nearest_20241106_203055.json,1717,582.411182,2,15,0.873617,2,15,0.873617,498,4071.891566,799,126990,498,4071.891566,8,771.750000,,6164,771.750000,502,4788.392430,688,120215,502,4788.392430,workloada,majority,mongodb,nearest,8,1000,0.500000,,
4_writeConcern=unacknowledged_result_mongodb_workloadb_secondary_20241106_204840.json,1768,565.610860,2,14,0.791855,2,14,0.791855,952,3865.902311,810,138803,952,3865.902311,4,1091.250000,,4357,1091.250000,48,4446.895833,1280,50138,48,4446.895833,workloadb,unacknowledged,mongodb,secondary,4,3000,0.300000,,
